city,crime_type,location_type,latitude,longitude,month
London,anti-social-behaviour,Force,51.513575,-0.142373,2024-12
London,anti-social-behaviour,Force,51.498553,-0.135291,2024-12
London,anti-social-behaviour,Force,51.516001,-0.122471,2024-12
London,anti-social-behaviour,Force,51.514286,-0.132818,2024-12
London,anti-social-behaviour,Force,51.511022,-0.119880,2024-12
London,anti-social-behaviour,Force,51.509097,-0.146936,2024-12
London,anti-social-behaviour,Force,51.500396,-0.111082,2024-12
London,anti-social-behaviour,Force,51.515598,-0.127633,2024-12
London,anti-social-behaviour,Force,51.510520,-0.137439,2024-12
London,anti-social-behaviour,Force,51.510953,-0.133012,2024-12
London,anti-social-behaviour,Force,51.513970,-0.134387,2024-12
London,anti-social-behaviour,Force,51.513575,-0.142373,2024-12
London,anti-social-behaviour,Force,51.513848,-0.129593,2024-12
London,anti-social-behaviour,Force,51.515684,-0.135874,2024-12
London,anti-social-behaviour,Force,51.498553,-0.135291,2024-12
London,anti-social-behaviour,Force,51.496941,-0.130617,2024-12
London,anti-social-behaviour,Force,51.507623,-0.130006,2024-12
London,anti-social-behaviour,Force,51.498175,-0.140363,2024-12
London,anti-social-behaviour,Force,51.506327,-0.146357,2024-12
London,anti-social-behaviour,Force,51.498315,-0.142994,2024-12
London,anti-social-behaviour,Force,51.507243,-0.145729,2024-12
London,anti-social-behaviour,Force,51.514523,-0.129580,2024-12
London,anti-social-behaviour,Force,51.519933,-0.133899,2024-12
London,anti-social-behaviour,Force,51.509158,-0.134930,2024-12
London,anti-social-behaviour,Force,51.499692,-0.114266,2024-12
London,anti-social-behaviour,Force,51.506553,-0.104775,2024-12
London,anti-social-behaviour,Force,51.513064,-0.129438,2024-12
London,anti-social-behaviour,Force,51.507097,-0.130864,2024-12
London,anti-social-behaviour,Force,51.516295,-0.129487,2024-12
London,anti-social-behaviour,Force,51.510623,-0.126987,2024-12
London,anti-social-behaviour,Force,51.513724,-0.111756,2024-12
London,anti-social-behaviour,Force,51.503496,-0.106473,2024-12
London,anti-social-behaviour,Force,51.513052,-0.132681,2024-12
London,anti-social-behaviour,Force,51.511312,-0.136326,2024-12
London,anti-social-behaviour,Force,51.519092,-0.122330,2024-12
London,anti-social-behaviour,Force,51.504176,-0.149643,2024-12
London,anti-social-behaviour,Force,51.517287,-0.130403,2024-12
London,anti-social-behaviour,Force,51.511312,-0.136326,2024-12
London,anti-social-behaviour,Force,51.506270,-0.137627,2024-12
London,anti-social-behaviour,Force,51.496440,-0.135867,2024-12
London,anti-social-behaviour,Force,51.514536,-0.140043,2024-12
London,anti-social-behaviour,Force,51.513575,-0.142373,2024-12
London,anti-social-behaviour,Force,51.505895,-0.133319,2024-12
London,anti-social-behaviour,Force,51.513052,-0.132681,2024-12
London,anti-social-behaviour,Force,51.514971,-0.133438,2024-12
London,anti-social-behaviour,Force,51.513205,-0.124229,2024-12
London,anti-social-behaviour,Force,51.512136,-0.148081,2024-12
London,anti-social-behaviour,Force,51.496508,-0.139610,2024-12
London,anti-social-behaviour,Force,51.515939,-0.132693,2024-12
London,anti-social-behaviour,Force,51.510295,-0.132318,2024-12
London,anti-social-behaviour,Force,51.504066,-0.110037,2024-12
London,anti-social-behaviour,Force,51.512133,-0.117918,2024-12
London,anti-social-behaviour,Force,51.497534,-0.132307,2024-12
London,anti-social-behaviour,Force,51.502823,-0.119257,2024-12
London,anti-social-behaviour,Force,51.512449,-0.115772,2024-12
London,anti-social-behaviour,Force,51.516001,-0.122471,2024-12
London,anti-social-behaviour,Force,51.515684,-0.135874,2024-12
London,anti-social-behaviour,Force,51.509491,-0.125924,2024-12
London,anti-social-behaviour,Force,51.504176,-0.149643,2024-12
London,anti-social-behaviour,Force,51.497934,-0.126369,2024-12
